regime,S,m,c_x,t,x,u,x_dot,u_dot,x_accel,u_accel,D_x_cumulative,F_x,F_u
fragile-fast,0.15,1.6,0.7,5.76,4.130728311997973e-06,0.25894675129990474,1.7525002575706256e-05,0.29450192335521297,8.491092556737563e-05,0.26421468520651503,9.424839537992176e-07,0.0001522557110227934,0.5258212348689046
fragile-fast,0.15,1.6,0.7,5.8,4.967585895934025e-06,0.2711495717304437,2.0921439598401282e-05,0.3050705107634736,0.00010040025366766631,0.26910820304647964,1.1411873896365786e-06,0.00018025299948308104,0.5373502874345312
fragile-fast,0.15,1.6,0.7,5.84,5.965083885738342e-06,0.283782965285857,2.4937449745107935e-05,0.31583483888533276,0.00011852253717326042,0.27387287027067597,1.3797907450661123e-06,0.00021305735818453057,0.5487417685848909
fragile-fast,0.15,1.6,0.7,5.88,7.152217935019876e-06,0.29685455543370337,2.967835123203835e-05,0.3267897536961598,0.00013968883162790828,0.27849775304152313,1.6658794624669073e-06,0.0002514291944021,0.5599763947690605
fragile-fast,0.15,1.6,0.7,5.92,8.562854114906064e-06,0.3103717419864162,3.526590449715468e-05,0.33792966381782075,0.00016436780550866919,0.28297197181490913,2.0083936270631497e-06,0.00029623747607678507,0.5710348186671493
fragile-fast,0.15,1.6,0.7,5.96,1.0236478783606121e-05,0.3243416836940329,4.184061671750145e-05,0.3492485426904171,0.0001930927006503649,0.28728473454253506,2.4178527784073947e-06,0.000348473231526441,0.5818976834490939
fragile-fast,0.15,1.6,0.7,6.0,1.2219051773346763e-05,0.3387712809769176,4.956432474351604e-05,0.3607399320721185,0.00022646895434203526,0.2914253702545686,2.906614849341265e-06,0.00040926440604106444,0.592545678158438
fragile-fast,0.15,1.6,0.7,6.04,1.4563975090034662e-05,0.3536671588522097,5.862308291719745e-05,0.37239694688230124,0.00026518251820678834,0.2953833628803183,3.4891738529426515e-06,0.00047989216226293426,0.6029595940048598
fragile-fast,0.15,1.6,0.7,6.08,1.7333190435853422e-05,0.36903565010811024,6.923038364546899e-05,0.38421228139751396,0.0003100089063284371,0.29914838516006725,4.182501470376788e-06,0.0005618087091131812,0.6131203813404554
fragile-fast,0.15,1.6,0.7,6.12,2.0598420031797682e-05,0.3848827787802669,8.163073989860647e-05,0.3961782168039166,0.00036182300148422365,0.3027103324973586,5.006438271648696e-06,0.0006566567403355801,0.6230092070871606
fragile-fast,0.15,1.6,0.7,6.16,2.44425664301167e-05,0.40121424398441935,9.610365995797542e-05,0.408286630103811,0.0004216096436691421,0.30605935659794153,5.984140928853364e-06,0.0007662905582713269,0.6326075123762555
fragile-fast,0.15,1.6,0.7,6.2,2.8961288258306343e-05,0.4180354041591285,0.0001129680457047411,0.42052900436772866,0.0004904750192390948,0.3091858987393062,7.142592459185618e-06,0.0008927989510341767,0.6418970701557241
fragile-fast,0.15,1.6,0.7,6.24,3.426477011727854e-05,0.43535126177182054,0.0001325870464743049,0.4328964403173009,0.0005696588618434482,0.3120807225132856,8.513183263876759e-06,0.0010385298815988092,0.650860042517371
fragile-fast,0.15,1.6,0.7,6.28,4.047970615520025e-05,0.45316644854053384,0.00015537340094804282,0.44537966921783234,0.0006605474677518113,0.314734945883611,1.013237151008477e-05,0.0012061170352217284,0.6594790374930966
fragile-fast,0.15,1.6,0.7,6.32,4.775151814152486e-05,0.4714852112226609,0.00018179529965811527,0.4579690670531768,0.0007646875181002903,0.31714007240058556,1.2042432235745764e-05,0.0013985082568626702,0.6677371650686196
fragile-fast,0.15,1.6,0.7,6.36,5.6246830156809936e-05,0.4903113980206289,0.0002123828003821269,0.47065466994920024,0.0008838006888933777,0.31928802141622264,1.429230544201816e-05,0.0016189958926537032,0.6756180921632547
fragile-fast,0.15,1.6,0.7,6.4,6.615622327432441e-05,0.5096484456528628,0.000247734827937862,0.48342619080584914,0.0010197990162156378,0.3211711571452664,1.6938554372991136e-05,0.0018712490287758482,0.6831060963261105
fragile-fast,0.15,1.6,0.7,6.44,7.769729481778391e-05,0.5294993671365292,0.0002885267885864875,0.4962730370916598,0.0011748009689651943,0.3227823164204936,2.004644616570249e-05,0.0021593475971726363,0.6901861179022796
fragile-fast,0.15,1.6,0.7,6.48,9.111804791158772e-05,0.5498667403264684,0.00033551882734509525,0.5091843297484796,0.0013511481644715188,0.3241148349945861,2.3691168082166e-05,0.0024878182902075847,0.6968438104272614
fragile-fast,0.15,1.6,0.7,6.5200000000000005,0.00010670063806854596,0.570752697252399,0.000389564753923956,0.522148923148263,0.0015514226435801603,0.325162572245636,2.795919360490784e-05,0.002861672195543572,0.703065589013944
fragile-fast,0.15,1.6,0.7,6.5600000000000005,0.00012476550445523246,0.5921589142939225,0.0004516216596671624,0.5351554260380884,0.001778464601182486,0.32591993414902,3.294981378311714e-05,0.003286444028114224,0.7088386765039906
fragile-fast,0.15,1.6,0.7,6.6000000000000005,0.00014567591420381094,0.6140866032300845,0.0005227602437144618,0.5481922234040492,0.0020353904457780813,0.32638189438490267,3.877685035126958e-05,0.0037682327980488647,0.7141511471643635
fragile-fast,0.15,1.6,0.7,6.640000000000001,0.00016984294866563435,0.6365365031972623,0.0006041758615455851,0.5612474991794453,0.0023256110375573158,0.3265440134580076,4.5570568297894955e-05,0.004313743711839249,0.7189919677199509
